iter	Passed	Remaining
0	162	162188
1	164	82315
2	167	55555
3	169	42313
4	172	34271
5	174	28846
6	177	25146
7	179	22316
8	181	20023
9	184	18250
10	185	16689
11	187	15397
12	189	14390
13	191	13466
14	193	12687
15	194	11970
16	195	11317
17	196	10722
18	197	10215
19	200	9804
20	201	9399
21	203	9053
22	204	8706
23	206	8412
24	208	8118
25	210	7874
26	211	7625
27	212	7363
28	213	7141
29	214	6934
30	214	6719
31	215	6516
32	216	6350
33	217	6185
34	218	6030
35	220	5893
36	221	5755
37	221	5613
38	222	5474
39	222	5343
40	223	5218
41	224	5123
42	225	5009
43	225	4900
44	226	4796
45	226	4706
46	227	4610
47	228	4529
48	229	4447
49	229	4363
50	230	4281
51	230	4209
52	232	4147
53	232	4076
54	233	4013
55	234	3954
56	235	3901
57	236	3847
58	237	3794
59	238	3742
60	239	3693
61	241	3646
62	242	3600
63	242	3552
64	243	3507
65	244	3461
66	245	3418
67	246	3373
68	247	3334
69	247	3293
70	248	3254
71	249	3215
72	250	3176
73	250	3139
74	251	3103
75	252	3069
76	253	3035
77	253	3000
78	254	2968
79	255	2936
80	255	2903
81	256	2872
82	256	2839
83	257	2809
84	258	2780
85	258	2751
86	259	2724
87	260	2696
88	260	2670
89	261	2644
90	262	2617
91	262	2592
92	263	2566
93	263	2541
94	264	2518
95	264	2495
96	265	2472
97	266	2449
98	266	2427
99	267	2406
100	267	2384
101	268	2363
102	268	2342
103	269	2322
104	270	2301
105	270	2281
106	271	2261
107	271	2242
108	271	2223
109	272	2204
110	273	2186
111	273	2168
112	273	2149
113	274	2132
114	274	2115
115	275	2098
116	275	2081
117	276	2065
118	276	2049
119	277	2034
120	277	2018
121	278	2002
122	278	1988
123	279	1973
124	279	1958
125	280	1944
126	280	1929
127	281	1915
128	281	1901
129	282	1888
130	282	1874
131	283	1861
132	283	1848
133	284	1835
134	284	1823
135	284	1810
136	285	1798
137	285	1786
138	286	1774
139	286	1762
140	287	1751
141	287	1739
142	288	1727
143	288	1716
144	289	1705
145	289	1694
146	290	1683
147	290	1672
148	291	1662
149	291	1652
150	292	1642
151	292	1632
152	293	1623
153	293	1613
154	294	1604
155	294	1594
156	295	1585
157	295	1576
158	296	1567
159	296	1558
160	297	1548
161	297	1539
162	298	1530
163	298	1521
164	299	1513
165	299	1504
166	300	1496
167	300	1488
168	300	1479
169	301	1471
170	301	1463
171	302	1455
172	302	1447
173	303	1439
174	303	1432
175	304	1424
176	304	1416
177	305	1408
178	305	1401
179	305	1393
180	306	1386
181	306	1379
182	307	1372
183	307	1365
184	308	1357
185	308	1351
186	309	1344
187	309	1337
188	310	1330
189	310	1324
190	311	1317
191	311	1311
192	312	1304
193	312	1298
194	312	1291
195	313	1285
196	313	1279
197	314	1273
198	314	1267
199	315	1261
200	315	1255
201	316	1249
202	316	1243
203	317	1237
204	317	1231
205	318	1225
206	318	1220
207	318	1214
208	319	1208
209	319	1203
210	320	1197
211	320	1192
